Image ID,Bm170816-41,,,,,,,,,
Image Path,/Users/clarabirdferrer/Documents/Research/MaRRS/whale_images/Whale-5.JPG,,,,,,,,,
Focal Length,50,,,,,,,,,
Altitude,85.72,,,,,,,,,
Pixel Dimension,0.00391667,,,,,,,,,
Notes,,,,,,,,,,
,,,,,,,,,,
Object,Length (m),Widths (%),,,,,,,,
,,10.00% Width,20.00% Width,30.00% Width,40.00% Width,50.00% Width,60.00% Width,70.00% Width,80.00% Width,90.00% Width
TL,23.92013692,2.478902058,3.176387782,3.322374343,2.815283227,2.192333182,2.048482371,1.486506892,1.039616501,0.43039025
Fluke,5.773836725,nan,nan,nan,nan,nan,nan,nan,nan,nan
,,,,,,,,,,
Object,Angle,,,,,,,,,
,,,,,,,,,,
Object,Area,,,,,,,,,
