Image ID,Bm170816-41,,,,,,,,,
Image Path,/Users/clarabirdferrer/Documents/Research/MaRRS/whale_images/Whale-7.JPG,,,,,,,,,
Focal Length,50,,,,,,,,,
Altitude,85.85,,,,,,,,,
Pixel Dimension,0.00391667,,,,,,,,,
Notes,,,,,,,,,,
,,,,,,,,,,
Object,Length (m),Widths (%),,,,,,,,
,,10.00% Width,20.00% Width,30.00% Width,40.00% Width,50.00% Width,60.00% Width,70.00% Width,80.00% Width,90.00% Width
TL,23.57075948,2.312986312,3.036018374,3.10036483,2.860879259,2.316526093,2.073805028,1.338199197,0.746612922,0.413495207
Fluke,5.687543109,nan,nan,nan,nan,nan,nan,nan,nan,nan
,,,,,,,,,,
Object,Angle,,,,,,,,,
,,,,,,,,,,
Object,Area,,,,,,,,,
