Image ID,Bw180829-30,,,,,,,,,
Image Path,/Users/clarabirdferrer/Documents/Research/MaRRS/whale_images/Whale-9.JPG,,,,,,,,,
Focal Length,50,,,,,,,,,
Altitude,56.39,,,,,,,,,
Pixel Dimension,0.00391667,,,,,,,,,
Notes,,,,,,,,,,
,,,,,,,,,,
Object Name,Length,10.00% Width,20.00% Width,30.00% Width,40.00% Width,50.00% Width,60.00% Width,70.00% Width,80.00% Width,90.00% Width
Total Length,14.035027,1.453768352,1.885666965,1.864311689,1.725857317,1.488639491,1.313345679,0.925939365,0.624147428,0.306104631
Fluke,3.745515952,nan,nan,nan,nan,nan,nan,nan,nan,nan
