Image ID,Mn170809-44,,,,,,,,,
Image Path,/Users/clarabirdferrer/Documents/Research/MaRRS/whale_images/Whale-4.JPG,,,,,,,,,
Focal Length,50,,,,,,,,,
Altitude,59.22,,,,,,,,,
Pixel Dimension,0.00391667,,,,,,,,,
Notes,,,,,,,,,,
,,,,,,,,,,
Object,Length (m),Widths (%),,,,,,,,
,,10.00% Width,20.00% Width,30.00% Width,40.00% Width,50.00% Width,60.00% Width,70.00% Width,80.00% Width,90.00% Width
TL,11.57719076,1.597115571,1.859924376,2.164575953,2.478895167,2.584584883,1.979474646,1.144586355,0.65929325,0.450931204
Fluke,4.345788858,nan,nan,nan,nan,nan,nan,nan,nan,nan
,,,,,,,,,,
Object,Angle,,,,,,,,,
,,,,,,,,,,
Object,Area,,,,,,,,,
